price_total,room_type,is_shared_room,is_private_room,max_guests,is_superhost,is_multi_listing,is_business_listing,cleanliness_score,guest_satisfaction_score,num_bedrooms,distance_city_center,distance_metro,attraction_index,restaurant_index,longitude,latitude,city,district,state,country_name,Crime_Index,Safety_Index,Monthly_Average_Net_salary
89.83467554,Private room,0,1,2,1,0,0,10,97,1,6.292760114,1.067209287,210.8906582,425.0216952,-0.0372,51.50364,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
5518.941893,Private room,0,1,4,1,0,1,9,98,4,0.167314993,0.240090109,664.2132937,886.0367926,4.89533,52.3726,Amsterdam,Gemeente Amsterdam,North Holland,Netherlands,25.7,74.3,4502.1
412.8607621,Entire home/apt,0,0,4,1,0,1,9,80,1,2.52349849,0.193035566,94.07426984,133.5983154,16.40037,48.22255,Vienna,Wien Stadt,Vienna,Austria,28.4,71.6,3135.2
302.8328809,Entire home/apt,0,0,2,1,0,0,10,96,1,2.589357892,0.104946253,264.6355132,678.0140616,2.37148,48.87631,Paris,Paris,Ile-de-France,France,58,42,3305.14
521.7240316,Entire home/apt,0,0,6,1,0,1,9,97,2,0.914309948,0.734341007,215.999288,683.1524565,-9.15,38.711,Lisbon,Lisbon,Lisbon,Portugal,32.6,67.4,1304.65
1442.398223,Entire home/apt,0,0,4,1,1,0,8,82,0,1.099115161,0.193629873,755.0868117,1710.716703,-0.1312,51.51793,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
131.2097425,Private room,0,1,2,1,0,1,9,83,1,4.247307719,0.399352615,166.8829477,392.8884941,2.408,48.868,Paris,Departement de Seine-Saint-Denis,Ile-de-France,France,58,42,3305.14
34.03196926,Private room,0,1,2,1,1,0,4,40,1,7.683304801,2.488482886,175.307553,337.1391921,-0.02547,51.48166,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
327.9828973,Entire home/apt,0,0,2,0,0,0,9,98,1,4.948304952,0.627960307,260.1217641,623.6052835,-0.19775,51.51587,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
444.533014,Entire home/apt,0,0,3,1,1,0,10,88,1,0.579119946,0.447906449,294.8293942,985.7857081,-9.14549,38.70989,Lisbon,Lisbon,Lisbon,Portugal,32.6,67.4,1304.65
152.7594595,Private room,0,1,2,1,0,1,9,87,1,3.523240294,0.604722556,640.9074346,1512.219345,12.46,41.904,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
229.6230174,Private room,0,1,4,1,0,1,7,81,1,4.006525631,0.110356678,262.5251193,503.4687337,-0.12358,51.4724,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
434.4895049,Entire home/apt,0,0,3,1,0,0,10,100,1,1.695771258,0.480857781,186.5707671,319.5130822,16.35231,48.20314,Vienna,Wien Stadt,Vienna,Austria,28.4,71.6,3135.2
44.38220075,Private room,0,1,2,1,0,1,9,87,0,8.477903215,1.452428932,167.0559451,323.3386456,-0.00897,51.49013,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
659.5474698,Private room,0,1,2,1,0,0,10,93,1,0.217551963,0.206476907,576.407596,1483.112789,2.16778,41.38613,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
307.6848455,Private room,0,1,2,1,0,1,9,92,1,2.097253927,0.144257901,467.6002975,1058.182063,-0.138,51.526,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
487.427357,Private room,0,1,2,0,1,0,10,98,1,4.550806782,0.106610667,159.7990306,375.4152058,2.40674,48.83642,Paris,Departement du Val-de-Marne,Ile-de-France,France,58,42,3305.14
230.4186415,Private room,0,1,2,1,1,0,9,81,1,2.899349247,1.608170774,194.5015825,243.673423,4.85729,52.35914,Amsterdam,Gemeente Amsterdam,North Holland,Netherlands,25.7,74.3,4502.1
244.0532008,Entire home/apt,0,0,5,1,1,0,8,20,1,2.610895276,1.310003292,949.5241383,2704.261106,12.47091,41.8988,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
293.1506369,Entire home/apt,0,0,3,1,0,0,9,97,1,1.099352872,0.514606482,221.9582986,501.2944191,-9.13053,38.71925,Lisbon,Lisbon,Lisbon,Portugal,32.6,67.4,1304.65
